[02Oct2025 00:00:08.533] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=85, y=64, z=33} BlockPos{x=85, y=65, z=33}
[02Oct2025 00:19:07.179] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 104.48317742112715, 237.12049929356988] -> [111.67290592865629, 110.30000001192093, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:19:12.181] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 104.48318858925515, 235.90889042920287] -> [96.66571488530917, 110.30000001192093, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:19:17.227] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 104.48318860099155, 234.69962646757173] -> [81.67021629962203, 110.30000001192093, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:19:22.227] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 104.48318917952878, 233.49764230406697] -> [66.76846168117208, 110.30000001192093, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:19:27.231] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 104.98982463716243, 232.29723306118365] -> [51.86683303044719, 110.30000001192093, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:19:32.277] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 105.03544118242525, 229.01917606314038] -> [37.155146119854386, 110.30000001192093, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:19:37.327] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 105.0349637323209, 221.47801576554775] -> [23.989261344075203, 110.30000001192093, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:19:42.377] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 105.03301917857362, 214.18474294339418] -> [20.360729818658985, 110.30000001192093, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:19:47.378] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 105.03368120863158, 202.83172191950382] -> [18.40517406809565, 110.30000001192093, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:19:52.427] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 105.03427043541377, 188.8485692010457] -> [13.917145587545617, 110.30000001192093, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:19:57.428] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 105.03429710452953, 174.6314320319528] -> [9.304106581997855, 110.30000001192093, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:20:02.478] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 105.03429455055374, 160.22762760418357] -> [4.628169218929971, 110.30000001192093, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:20:07.526] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 105.03430573216353, 145.81823178075655] -> [-0.04807867274744804, 110.30000001192093, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:20:12.529] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 105.0342946511511, 131.55142515051068] -> [-4.680411526081597, 110.30000001192093, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:20:17.577] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 101.96106753120861, 117.13214708018005] -> [-9.329345622179543, 110.30000001192093, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:20:22.578] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 101.93431035290982, 102.8645203836163] -> [-13.958735759489667, 110.30000001192093, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:20:27.625] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 101.33032214202747, 88.50147391009033] -> [-18.618901223955188, 110.30000001192093, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:20:32.674] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 97.47483998444395, 74.07991772415936] -> [-23.260977913705144, 110.30000001192093, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:20:37.676] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 87.65021979048694, 59.83016550066769] -> [-27.785595567045245, 110.30000001192093, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:20:42.678] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 80.22496927982081, 46.25475280257761] -> [-34.30292121794585, 110.30000001192093, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:20:47.678] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 78.09951522230206, 32.90630371766984] -> [-41.14800021898512, 110.30000001192093, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:20:52.678] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 68.14573240821375, 19.506390803385937] -> [-47.92214266084859, 110.30000001192093, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:20:57.728] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8592125650000006E7, 65.96292452251636, 9.924686647951603] -> [-52.9684332460165, 110.30000001192093, 1.2290058650000006E7] returning empty list! this might break things
[02Oct2025 00:49:55.984] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8497914650000006E7, 65.0, 227.8249498642981] -> [392.1837104652077, 66.88486187036386, 1.2290049650000006E7] returning empty list! this might break things
[02Oct2025 00:50:01.034] [Server thread/ERROR] [VS2 Get Entities Mixin/]: java.lang.Exception: Collision box is too big! AABB[-2.8497914650000006E7, 65.0, 227.79727245867252] -> [392.18244638852775, 66.80130172511882, 1.2290049650000006E7] returning empty list! this might break things
[02Oct2025 02:44:27.384] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: natasha fell from a high place
